SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,-1.1597534875625164,0.6906113899274662,-0.8576094888732058,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
0,-1.0373874780907992,0.7288765348290869,-0.7339181340522022,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
0,-0.8742327987951762,-1.4905018694649346,-0.9092702412598073,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
0,0.6349479846893362,-1.3424323957151836,-0.47743820982574003,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,-1.2821194970342338,-0.3525297341297692,-0.9826852024353221,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1.613876060463074,0.825371248059262,1.7794400953085334,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,1.5730873906391682,0.421091673663874,1.4432606607008704,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
1,1.4915100509913568,1.3477736610640019,2.0693423948561445,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
0,-1.2821194970342338,-1.4938292733694234,-0.9977593309496602,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,-0.7110781194995532,1.337791449350535,-0.3109635777198733,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
0,1.5322987208152625,-0.6752879128651815,0.33744368787937645,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
0,-1.1189648177386107,0.6223996098854456,-0.8289115124304574,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
0,-0.017670732493155674,0.8220438441547729,0.26873115163399036,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.5533706450415247,1.5074890484794634,1.1785844537690906,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
0,-0.915021468619082,-1.3041672508135624,-0.8959760025554714,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,-0.18082541178877864,-0.01646193977640131,-0.2145418927039621,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0.10469527697856156,1.1947130814575173,0.5041600334162311,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
1,0.0639066071546558,0.6756380723572665,0.2567114019294087,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.09924807214096716,-1.517121100700845,-0.7415870419990008,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,0.512581975217619,1.0083784628061454,0.8769700397927009,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
0,-0.915021468619082,-1.3474235015719167,-0.8949652009349763,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-1.1189648177386107,0.10166089883295057,-0.8525994286672742,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
0,-1.1189648177386107,-0.4623340629778991,-0.8720903207842098,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
0,-0.8334441289712705,-1.4888381675126903,-0.8919767439700347,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,-0.05845940231706142,-1.4805196577514683,-0.7388622724133188,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,-1.2821194970342338,0.4759938380879392,-0.9717421761960506,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,-1.2821194970342338,0.19981931401536993,-0.975389851609141,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,-0.017670732493155674,0.8702912007698604,0.2554149389813827,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,-0.7110781194995532,-1.4938292733694234,-0.8799569942654533,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1
0,-0.5887121100278361,0.3661895092398093,-0.4031223167710884,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0.5533706450415247,0.998396251092679,0.9372445799017811,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
0,-1.2821194970342338,-0.6902612304353811,-0.9871459139344629,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3902159657459017,-1.4821833597037126,-0.6242461582284982,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
0,-0.4255574307322131,1.193049379505273,-0.08584047767702686,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-0.8742327987951762,-0.47730738054809874,-0.7580894771509948,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,-1.2413308272103278,0.4543657127087619,-0.9408248309778675,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0.2678499562741845,1.023351780376345,0.6454744947510819,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,-0.8742327987951762,-0.959780946698973,-0.8296146787751496,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
1,-0.2216140816126844,0.6307181196466676,0.008735395684067358,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
0,-1.2413308272103278,-1.4755285518947352,-0.9917824170197769,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-1.2005421573864221,1.124837599463253,-0.8774959120590307,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
0,1.613876060463074,-1.4771922538469795,-0.3463416344371972,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,1.613876060463074,1.4742150094345756,2.382471157726868,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
0,1.5322987208152625,1.3694017864431787,2.3132971685677775,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
0,0.6349479846893362,-1.4888381675126903,-0.5745630611863434,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,1.613876060463074,1.0050510589016561,2.0008715720417456,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,-0.8742327987951762,-0.5438554586378745,-0.7863699485765823,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.7573139941610534,0.16155416911374865,0.5590949040953054,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0
0,-1.2413308272103278,-1.4688737440857575,-0.9871239399861914,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,1.4915100509913568,1.50249794262273,2.259109412129938,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
0,1.5730873906391682,0.06339575393132932,1.0542338804999376,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
1,-0.1400367419648729,-0.9730905623169281,-0.5560170488450878,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0.0639066071546558,0.797088314871107,0.31199785578082917,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.915021468619082,-0.45567925516892144,-0.7875785157315219,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-0.7926554591473648,-1.4655463401812687,-0.886856814022745,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
1,-1.2821194970342338,0.3179421526247218,-0.9738297012818554,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0.512581975217619,0.8120616324413066,0.8358128346799383,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
1,-0.9965988082668935,1.1780760619350734,-0.6407485933804922,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
0,1.1652006924001108,-1.3174768664315177,-0.32320306690717104,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,-0.8742327987951762,-1.5054751870351342,-0.9073365338119038,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,1.2467780320479223,1.459241691864376,2.013418696504847,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,0.349427295921996,-0.4939444000705427,-0.11482411544730649,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,-0.9558101384429878,0.3428976819083877,-0.7279851680188621,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,-0.2216140816126844,-0.2726720404220381,-0.28011215434650516,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,-1.0373874780907992,1.1614390424126293,-0.7106696967808179,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-1.2413308272103278,0.4876397517536498,-0.9398579772539158,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-0.46634610055611886,-1.4821833597037126,-0.8207811515699543,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,0.9612573432805821,-1.3341138859539616,-0.38064296768921113,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,0.4310046355698075,-0.03143525734660095,0.19632699207897042,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0.3086386260980903,0.8869282202923043,0.6079210171548666,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
1,-1.1597534875625164,0.797088314871107,-0.8428649695829422,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
0,-0.7518667893234591,0.018475801220730868,-0.5944934322687117,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,1.3283553716957337,-1.3025035488613181,-0.27932109220872653,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,-1.2005421573864221,0.33457917214716576,-0.913203578000429,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0.3902159657459017,0.3079599409112555,0.41270446070970823,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,-0.18082541178877864,-0.3525297341297692,-0.3269825860098914,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0.349427295921996,-1.4988203792261565,-0.6503731827234659,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
1,-0.017670732493155674,0.8669637968653718,0.2670391576170747,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1.450721381167451,0.7188943231156206,1.5787959736402823,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
0,1.0836233527522994,1.151456830699163,1.569566915366198,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
0,1.1652006924001108,1.637257800754526,2.1278809930517655,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,-1.078176147914705,0.8103979304890623,-0.792500680144367,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
0,0.023117937330750068,1.2928714966399366,0.4705618665089093,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
0,-0.7518667893234591,-0.006479728062935041,-0.5929992037862407,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1.124412022576205,1.2063589951232283,1.6599457646074107,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
0,1.613876060463074,1.1481294267946744,2.1953629881939407,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
0,-1.2413308272103278,-0.19614175061879605,-0.9563823863541814,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,-0.9965988082668935,-0.6569871913904932,-0.8138813318126626,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0.6349479846893362,-1.4938292733694234,-0.595240546509947,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,1.4915100509913568,-0.11462035495882066,0.8090265917368217,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
1,1.613876060463074,0.6623284567393112,1.692577077790781,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
0,-1.1597534875625164,1.2063589951232283,-0.8369539774978738,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
0,-1.2821194970342338,0.2064741218243471,-0.9753019558160546,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1.450721381167451,-0.8649499354210425,0.18848229254599844,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,-0.7110781194995532,0.3096236428634998,-0.5082237113542932,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0.18627261662637304,0.023466907077463767,0.010317519959624858,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1.287566701871828,-1.500484081178401,-0.41911935111283477,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0.5533706450415247,-1.3291227800972283,-0.49416038446045024,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,-0.09924807214096716,-0.013134535871912711,-0.15837648092167655,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,-0.5071347703800245,0.8619726910086385,-0.14912544869932046,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,-1.2005421573864221,0.14824455349579332,-0.9224546102227852,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
0,1.5322987208152625,0.3728443170487865,1.3069782335202227,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
0,1.613876060463074,0.6590010528348226,1.7116944127870988,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,-1.1189648177386107,0.35454359557409826,-0.8247584362071193,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.5533706450415247,1.0366613959942999,0.9269387981623868,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1.613876060463074,0.2846681135798339,1.3354344965319833,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
0,1.613876060463074,0.34955248971736536,1.4019056900536633,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
0,1.613876060463074,1.7603717452206111,2.810238008730683,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
0,-0.46634610055611886,-1.5071388889873785,-0.8320757609815721,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
1,-0.7110781194995532,0.8303623539159949,-0.3803133584651367,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,-1.078176147914705,-1.2825391254343852,-0.925662806670443,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,-1.1597534875625164,0.4510383088042733,-0.8614988777172843,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1.3691440415196396,0.19815561206312515,1.076075985081938,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0.5533706450415247,-1.5187848026530892,-0.6267511883314639,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,-0.7518667893234591,0.3478887877651206,-0.5556654656727419,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.7573139941610534,-1.0213379189320153,-0.2233973938574289,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1.4915100509913568,-1.5038114850828896,-0.39264074344552097,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0.7573139941610534,-0.5072540156884978,0.11559470612900272,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
0,1.613876060463074,1.3311366415415578,2.315714302877657,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
0,-1.2821194970342338,0.1781911886361926,-0.9756755129366723,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1.5730873906391682,-1.3524146074286498,-0.24495383711189764,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0
0,-0.8334441289712705,-1.492165571417179,-0.8892080264878094,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0.7165253243371477,0.825371248059262,0.8851882964462904,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
0,-0.9965988082668935,-1.4988203792261565,-0.9421212939258937,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
1,-0.6702894496756475,-0.3591845419387466,-0.6158521099887356,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,-0.915021468619082,1.124837599463253,-0.5788260071510396,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
1,-0.3439800910844016,0.9534762983820801,-0.01154655857064671,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,1.613876060463074,0.15822676520926007,1.1505237218262192,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,-0.9965988082668935,-1.4655463401812687,-0.9355071354961331,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,-1.2413308272103278,-0.17950473109635212,-0.9491969052693585,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,-1.0373874780907992,0.0018387816982869288,-0.7896001189725118,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,-1.2413308272103278,1.0300065881853222,-0.9196639187922883,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-1.2821194970342338,-0.49061699616605386,-0.9845090401418674,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1.5730873906391682,-1.3640605210943606,-0.29178032087874056,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,-1.2005421573864221,0.1565630632570153,-0.9154009728275919,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,-1.2821194970342338,-1.5237759085098224,-0.9981548620185495,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,0.2270612864502788,1.0017236549971675,0.5717299243514924,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0.2270612864502788,-1.492165571417179,-0.7084942759019265,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1.5730873906391682,1.3926936137746002,2.1942862647286305,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
0,1.5730873906391682,0.8320260558682396,1.8312326913847643,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,-1.2821194970342338,-1.4638826382290244,-0.9973637998807707,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,-1.2005421573864221,0.4826486458969169,-0.9164337483963585,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1.3283553716957337,-1.5154573987486004,-0.4264586498355591,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,1.5730873906391682,1.7087969847010351,2.7574785589305004,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
0,-0.38476876090830736,-1.500484081178401,-0.8019934257977109,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,-0.9558101384429878,0.0018387816982869288,-0.7658023329943369,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,-0.8742327987951762,1.0017236549971675,-0.5142006252841766,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-1.2821194970342338,-0.31925569508488133,-0.9822457234698895,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
